"Nama Stasiun","Latitude","Longitude"
"Stasiun Geofisika Aceh Besar","5.49600","95.29600"
"Stasiun Meteorologi Maritim Pontianak","-0.03000","109.34000"
"Stasiun Geofisika Banjarnegara","-7.33300","109.70690"
"Stasiun Klimatologi Jayapura","-2.59231","140.16792"
"Stasiun Meteorologi Utarom","-3.67000","133.75000"
"Pos Meteorologi Penggung","-6.75530","108.53904"
"Stasiun Meteorologi Maimun Saleh","5.87655","95.33785"
"Stasiun Meteorologi Malikussaleh","5.22869","96.94749"
"Stasiun Meteorologi Sultan Iskandar Muda","5.52244","95.41700"
"Stasiun Meteorologi Tanjung Harapan","2.50000","117.22000"
"Stasiun Meteorologi Cut Nyak Dhien Nagan Raya","4.04928","96.24796"
"Stasiun Klimatologi Aceh Besar","5.40400","95.46400"
"Stasiun Klimatologi Deli Serdang","3.62114","98.71485"
"Stasiun Meteorologi Maritim Belawan","3.78824","98.71492"
"Stasiun Meteorologi Kualanamu","3.64573","98.88488"
"Stasiun Geofisika Deli Serdang","3.50100","98.56000"
"Stasiun Meteorologi Aek Godang","1.55000","99.45000"
"Stasiun Meteorologi FL Tobing","1.55000","98.88000"
"Stasiun Meteorologi Binaka","1.16490","97.70360"
"Stasiun Geofisika Gunungsitoli","1.30000","97.58000"
"Stasiun Meteorologi Hang Nadim","1.11667","104.11667"
"Stasiun Meteorologi Raja Haji Abdullah ","1.03000","103.38000"
"Stasiun Meteorologi Raja Haji Fisabilillah","0.92270","104.52890"
"Stasiun Meteorologi Sultan Syarif Kasim II","0.45924","101.44743"
"Stasiun Meteorologi Tarempa","3.20000","106.25000"
"Stasiun Meteorologi Ranai","3.91206","108.39000"
"Stasiun Meteorologi Maritim Teluk Bayur","-0.99639","100.37222"
"Stasiun Meteorologi Minangkabau","-0.79355","100.28917"
"Stasiun Geofisika Padang Panjang","-0.46630","100.37970"
"Stasiun Klimatologi Padang Pariaman","-0.54549","100.29786"
"Stasiun Meteorologi Japura","-0.33000","102.32000"
"Stasiun Meteorologi Dabo ","-0.48000","104.58000"
"Stasiun Klimatologi Muaro Jambi","-1.60190","103.48444"
"Stasiun Meteorologi Sultan Thaha","-1.63368","103.64000"
"Stasiun Pemantau Atmosfer Global Bukit Koto Tabang","-0.25050","100.38230"
"Stasiun Meteorologi Depati Parbo","-2.08300","101.45000"
"Stasiun Meteorologi Sultan Mahmud Badaruddin II","-2.89468","104.70129"
"Stasiun Klimatologi Palembang","-2.92732","104.77197"
"Stasiun Meteorologi Depati Amir","-2.17000","106.13000"
"Stasiun Geofisika Tanjung Pandan","-2.75750","107.65000"
"Stasiun Meteorologi H. AS. Hananjoeddin","-2.75000","107.75000"
"Stasiun Meteorologi Fatmawati Soekarno","-3.85820","102.33670"
"Stasiun Klimatologi Bengkulu","-3.86520","102.31190"
"Stasiun Geofisika Kepahiang","-3.55000","102.58900"
"Stasiun Klimatologi Pesawaran","-5.17236","105.18000"
"Stasiun Meteorologi Maritim Panjang","-5.47210","105.32100"
"Stasiun Meteorologi Radin Inten II","-5.16000","105.11000"
"Stasiun Geofisika Lampung Utara","-4.83631","104.87000"
"Stasiun Meteorologi Yuvai Semaring","3.86000","115.68000"
"Stasiun Meteorologi Nunukan","4.13000","117.67000"
"Stasiun Meteorologi Juwata","3.33000","117.57000"
"Stasiun Meteorologi Kalimarau ","2.14562","117.43375"
"Stasiun Meteorologi Paloh","1.74000","109.30000"
"Stasiun Meteorologi Nangapinoh","-0.42000","111.47000"
"Stasiun Meteorologi Susilo","0.06000","111.47000"
"Stasiun Meteorologi Pangsuma","0.84000","112.93000"
"Stasiun Meteorologi Supadio","-0.14206","109.45000"
"Stasiun Klimatologi Mempawah","0.07500","109.19000"
"Stasiun Meteorologi Beringin","-0.56000","114.53000"
"Stasiun Meteorologi Temindung","-0.48000","117.16000"
"Stasiun Meteorologi Rahadi Oesman","-1.80000","109.97000"
"Stasiun Meteorologi Sultan Aji Muhammad Sulaiman Sepinggan","-1.26000","116.90000"
"Stasiun Meteorologi Iskandar","-2.73000","111.66000"
"Stasiun Meteorologi H. Asan","-2.55000","112.93000"
"Stasiun Meteorologi Sanggu","-1.67000","114.90000"
"Stasiun Meteorologi Tjilik Riwut","-2.22000","113.95000"
"Stasiun Meteorologi Syamsudin Noor","-3.44200","114.75400"
"Stasiun Klimatologi Banjarbaru","-3.46225","114.84000"
"Stasiun Meteorologi Gusti Syamsir Alam","-3.30000","116.17000"
"Stasiun Klimatologi Tangerang Selatan","-6.26151","106.75084"
"Stasiun Geofisika Tangerang","-6.10000","106.38000"
"Stasiun Meteorologi Maritim Serang","-6.11185","106.11000"
"Stasiun Meteorologi Budiarto","-6.28670","106.56389"
"Stasiun Meteorologi Maritim Tanjung Priok","-6.10781","106.88053"
"Stasiun Meteorologi Kemayoran","-6.15559","106.84000"
"Stasiun Meteorologi Soekarno Hatta","-6.12000","106.65000"
"Stasiun Meteorologi Citeko","-6.70000","106.85000"
"Stasiun Klimatologi Bogor","-6.50000","106.75000"
"Stasiun Geofisika Bandung","-6.88356","107.59733"
"Stasiun Meteorologi Kertajati","-6.73440","108.26300"
"Stasiun Meteorologi Tegal","-6.86817","109.12103"
"Stasiun Meteorologi Tunggul Wulung","-7.71890","109.01490"
"Stasiun Klimatologi Semarang","-6.98470","110.38120"
"Stasiun Meteorologi Maritim Tanjung Emas","-6.94860","110.41990"
"Stasiun Meteorologi Ahmad Yani","-6.97683","110.37780"
"Stasiun Geofisika Sleman","-7.82000","110.30000"
"Stasiun Meteorologi Sangkapura","-5.85110","112.65780"
"Stasiun Meteorologi Perak I","-7.22360","112.72390"
"Stasiun Meteorologi Juanda","-7.38460","112.78330"
"Stasiun Meteorologi Maritim Tanjung Perak","-7.20530","112.73530"
"Stasiun Klimatologi Malang","-7.90080","112.59790"
"Stasiun Geofisika Pasuruan","-7.70456","112.63533"
"Stasiun Geofisika Malang","-8.15000","112.45000"
"Stasiun Meteorologi Kalianget","-7.03976","113.91400"
"Stasiun Geofisika Nganjuk","-7.73486","111.76682"
"Stasiun Meteorologi Banyuwangi","-8.21500","114.35530"
"Stasiun Meteorologi Naha","3.68594","125.52881"
"Stasiun Klimatologi Minahasa Utara","1.54585","124.92330"
"Stasiun Meteorologi Sam Ratulangi","1.54575","124.92340"
"Stasiun Meteorologi Maritim Bitung","1.44310","125.17970"
"Stasiun Meteorologi Sultan Bantilan","1.12114","120.79433"
"Stasiun Meteorologi Djalaluddin","0.63850","122.85250"
"Stasiun Meteorologi Mutiara Sis-Al Jufri","-0.91589","119.90554"
"Stasiun Meteorologi Syukuran Aminudin Amir","-1.04064","122.77100"
"Stasiun Meteorologi Kasiguncu","-1.42038","120.65701"
"Stasiun Meteorologi Majene","-3.55074","118.98054"
"Stasiun Meteorologi Pongtiku","-3.04524","119.81885"
"Stasiun Meteorologi Andi Jemma","-2.55472","120.32422"
"Stasiun Meteorologi Sangia Ni Bandera","-4.18059","121.61077"
"Stasiun Meteorologi Maritim Kendari","-3.97010","122.58950"
"Stasiun Meteorologi Sultan Hasanuddin","-5.07000","119.55000"
"Stasiun Meteorologi Maritim Paotere","-5.11375","119.41983"
"Stasiun Klimatologi Maros","-4.93080","119.57200"
"Stasiun Meteorologi Beto Ambari","-5.47000","122.62000"
"Stasiun Meteorologi I Gusti Ngurah Rai ","-8.75000","115.17000"
"Stasiun Geofisika Denpasar","-8.67689","115.21000"
"Pos Pengamatan Kahang-Kahang","-8.36500","115.61083"
"Stasiun Klimatologi Jembrana","-8.34100","114.61760"
"Stasiun Meteorologi Zainuddin Abdul Madjid","-8.75277","116.24982"
"Stasiun Klimatologi Lombok Barat","-8.63627","116.17094"
"Stasiun Meteorologi Sultan Muhammad Kaharuddin","-8.48845","117.41336"
"Stasiun Meteorologi Sultan Muhammad Salahuddin","-8.54279","118.69280"
"Stasiun Meteorologi Komodo","-8.48673","119.88683"
"Stasiun Meteorologi Frans Sales Lega","-8.63000","120.45000"
"Stasiun Meteorologi Fransiskus Xaverius Seda","-8.63577","122.23752"
"Stasiun Meteorologi Gewayantana","-8.27520","122.99860"
"Stasiun Meteorologi Mali","-8.13471","124.59000"
"Stasiun Meteorologi Umbu Mehang Kunda","-9.66944","120.29972"
"Stasiun Klimatologi Kupang","-10.13861","123.66722"
"Stasiun Meteorologi Eltari","-10.16780","123.67039"
"Stasiun Meteorologi David Constatijn Saudale","-10.76662","123.07395"
"Stasiun Meteorologi Tardamu","-10.50000","121.83000"
"Stasiun Meteorologi Gamar Malamo","1.84092","127.79050"
"Stasiun Meteorologi Sultan Babullah","0.83330","127.38000"
"Stasiun Geofisika Ternate","0.77190","127.36670"
"Stasiun Meteorologi Oesman Sadik","-0.63784","127.50000"
"Stasiun Meteorologi Seigun","-0.89118","131.28575"
"Stasiun Meteorologi Rendani","-0.89227","134.05041"
"Stasiun Meteorologi Frans Kaisiepo","-1.19069","136.10361"
"Stasiun Meteorologi Sudjarwo Tjondro Negoro","-1.87540","136.23994"
"Stasiun Meteorologi Mararena","-1.85000","138.75000"
"Stasiun Meteorologi Emalamo","-2.05000","126.00000"
"Stasiun Meteorologi Torea","-2.91938","132.26496"
"Stasiun Meteorologi Moanamani","-3.35210","135.52000"
"Stasiun Meteorologi Wamena Jaya Wijaya","-4.07000","138.95000"
"Stasiun Meteorologi Sentani","-2.57000","140.48000"
"Stasiun Klimatologi Manokwari Selatan","-1.47000","134.19000"
"Stasiun Meteorologi Dok II Jayapura","-2.53000","140.72000"
"Stasiun Meteorologi Namlea","-3.25000","127.08000"
"Stasiun Meteorologi Amahai","-3.34640","128.92840"
"Stasiun Meteorologi Pattimura","-3.71140","128.09570"
"Stasiun Klimatologi Seram Bagian Barat","-3.25000","128.40000"
"Stasiun Meteorologi Geser","-3.88130","130.88000"
"Stasiun Meteorologi Enarotali","-3.92688","136.38000"
"Stasiun Meteorologi Bandaneira","-4.52338","129.90430"
"Stasiun Meteorologi Mozez Kilangin","-4.53006","136.89348"
"Stasiun Meteorologi Karel Sadsuitubun","-5.66370","132.73620"
"Stasiun Meteorologi Tanah Merah","-6.10000","140.31000"
"Stasiun Meteorologi Mopah","-8.52019","140.41568"
"Stasiun Geofisika Winangun","1.44340","124.83890"
"Stasiun Klimatologi Tanah Miring","-8.38700","140.51700"
"Stasiun Klimatologi Konawe Selatan","-4.05600","122.44900"
"Stasiun Klimatologi Bone Bolango","0.55600","123.14000"
"Stasiun Meteorologi Tuban","-6.82290","111.99177"
"Stasiun Klimatologi Kampar","0.40700","101.21700"
"Stasiun Klimatologi Sleman","-7.73100","110.35400"
"Stasiun Klimatologi Bangka Tengah","-2.51800","106.42200"
"Stasiun Meteorologi Maritim Ambon","-3.79053","128.10075"
"Balai Besar Meteorologi, Klimatologi, dan Geofisika Wilayah I","3.53970","98.64000"
"null","null","null"
"Stasiun Geofisika Sorong","-0.86000","131.26000"
"Stasiun Geofisika Aceh Selatan","3.17333","97.28637"
"Stasiun Geofisika Balikpapan","-1.25530","116.91463"
"Stasiun Geofisika Gorontalo","0.55588","123.14060"
"Stasiun Geofisika Palu","-0.90536","119.83670"
"Stasiun Geofisika Kendari","-3.96000","122.62000"
"Stasiun Geofisika Gowa","-5.21800","119.47000"
"Stasiun Geofisika Sumba Timur","-9.66917","120.29776"
"Stasiun Geofisika Kupang","-10.16453","123.58933"
"Stasiun Geofisika Angkasapura","-2.51461","140.70431"
"Stasiun Geofisika Karang Panjang","-3.69000","128.19000"
"Stasiun Geofisika Nabire","-5.64000","132.75000"
"Stasiun Meteorologi Mathilda Batlayeri","-7.98000","131.30000"
"Stasiun Geofisika Saumlaki","-7.98000","131.30000"
"Balai Besar Meteorologi, Klimatologi , dan Geofisika Wilayah III","-8.73810","115.17860"
"Stasiun Pemantau Atmosfer Global Lore Lindu Bariri","-1.64990","120.18300"
"Stasiun Pemantau Atmosfer Global Puncak Vihara Klademak","-0.98100","131.30100"
"Stasiun Geofisika Alor","-8.14450","124.59030"
"Stasiun Meteorologi Silangit","2.26136","98.99357"
"Halim Perdana Kusuma Jakarta","-6.27036","106.88926"
"Balai Besar Meteorologi, Klimatologi, dan Geofisika Wilayah IV","-5.14283","119.45227"